total_lag,max_lag,min_lag,mean_lag,std_lag,lag_cv,total_throughput,throughput_cv,throughput_std,mean_commit_gap,max_commit_gap,max_partition_share,active_ratio,num_partitions,label
71,71,71,71.0,0.0,0.0,0.0,0.0,0.0,71.0,71,0.0,0.0,1,healthy
92,92,92,92.0,0.0,0.0,9.496358181921096,0.0,0.0,92.0,92,0.9999999998946965,1.0,1,healthy
10,10,10,10.0,0.0,0.0,9.979313578151407,0.0,0.0,10.0,10,0.9999999998997927,1.0,1,healthy
10,10,10,10.0,0.0,0.0,9.980358393583337,0.0,0.0,10.0,10,0.9999999998998031,1.0,1,healthy
0,0,0,0.0,0.0,0.0,9.979970124124318,0.0,0.0,0.0,0,0.9999999998997993,1.0,1,healthy
0,0,0,0.0,0.0,0.0,9.975085497933305,0.0,0.0,0.0,0,0.9999999998997502,1.0,1,healthy
1,1,1,1.0,0.0,0.0,9.97983477123113,0.0,0.0,1.0,1,0.9999999998997979,1.0,1,healthy
1,1,1,1.0,0.0,0.0,9.980627943970712,0.0,0.0,1.0,1,0.9999999998998059,1.0,1,healthy
0,0,0,0.0,0.0,0.0,9.480589256229907,0.0,0.0,0.0,0,0.9999999998945213,1.0,1,healthy
0,0,0,0.0,0.0,0.0,9.977372939253287,0.0,0.0,0.0,0,0.9999999998997732,1.0,1,healthy
0,0,0,0.0,0.0,0.0,9.978585898477508,0.0,0.0,0.0,0,0.9999999998997854,1.0,1,healthy
0,0,0,0.0,0.0,0.0,9.974519731601657,0.0,0.0,0.0,0,0.9999999998997445,1.0,1,healthy
0,0,0,0.0,0.0,0.0,9.977491611093482,0.0,0.0,0.0,0,0.9999999998997744,1.0,1,healthy
0,0,0,0.0,0.0,0.0,9.987478457577426,0.0,0.0,0.0,0,0.9999999998998746,1.0,1,healthy
0,0,0,0.0,0.0,0.0,9.981441433187316,0.0,0.0,0.0,0,0.999999999899814,1.0,1,healthy
0,0,0,0.0,0.0,0.0,9.978470761500311,0.0,0.0,0.0,0,0.9999999998997843,1.0,1,healthy
0,0,0,0.0,0.0,0.0,9.976134173798586,0.0,0.0,0.0,0,0.9999999998997607,1.0,1,healthy
0,0,0,0.0,0.0,0.0,9.975010770399576,0.0,0.0,0.0,0,0.9999999998997495,1.0,1,healthy
1,1,1,1.0,0.0,0.0,9.976814032844269,0.0,0.0,1.0,1,0.9999999998997676,1.0,1,healthy
1,1,1,1.0,0.0,0.0,9.977585363843247,0.0,0.0,1.0,1,0.9999999998997754,1.0,1,healthy
